id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
65,三嶋製麺所,みしま,まんのう町,製麺所,,平日 9:00〜16:30／土日 9:00〜16:00,金曜,,https://kagawan.com/mishimaseimenjo/,あり（3台）,mishimaseimenjo,34.141975,133.961350
66,山内うどん,やまうち,まんのう町,セルフ,,9:00〜13:30（玉切れ次第終了）,木曜,,https://kagawan.com/yamauchiudon/,あり（約30台）,yamauchiudon,34.137037,133.829751
67,うどん そらいけ,そらいけ,さぬき市,セルフ,,11:00〜14:00,日曜,,https://kagawan.com/soraike/,あり（3台）,soraike,34.244138,134.273154
68,さぬきうどん羽立,はだち,さぬき市,一般,,10:00〜14:00,金曜,,https://kagawan.com/haryu/,あり（8台）,haryu,34.293992,134.242896
69,さぬきうどん 溜,たまり,さぬき市,セルフ,,10:00〜15:00,年中無休,,https://kagawan.com/tamariudon/,あり（無料・約150台）,tamariudon,34.284084,134.176355
70,八十八庵,やそばあん,さぬき市,一般,,8:00〜16:30（LO16:00）,12/30・31のみ休み,,https://kagawan.com/yasobaan/,あり（60台）,yasobaan,34.190195,134.206842
71,さぬきうどん処 麺でぃ〜,めんでぃ,さぬき市,セルフ,,10:30〜15:00,月曜（祝日は営業・翌火曜休）,,https://kagawan.com/udondokoro-mendy/,あり（3カ所）,udondokoro-mendy,34.319695,134.183502
72,麺処 まはろ,まはろ,さぬき市,一般,,平日 11:00〜14:00／土日祝 10:30〜15:00（玉切れ次第終了）,水曜（祝日は営業・翌木曜休）,,https://kagawan.com/maharo/,あり（無料・約20台）,maharo,34.290290,134.218470
73,手打うどん まるたけ,まるたけ,さぬき市,セルフ,,9:00〜15:00,土・日曜,,https://kagawan.com/marutakeudon/,あり（13台）,marutakeudon,34.258438,134.244057
74,手打うどん 源内,てうちうどん げんない,さぬき市,一般,,10:00〜19:00（売切れ次第終了）,月曜日,,,あり,gennai,34.321537,134.195799
75,松原うどん,まつばらうどん,さぬき市,セルフ,,10:30〜15:00,年中無休,,,あり,matsubaraudon,34.285188,134.253152
76,あなぶき家 津田の松原SA 上り線,あなぶきや つだのまつばらさーびすえりあ のぼりせん,さぬき市,セルフ,,7:00〜21:00,年中無休,,,あり,anabukiya,34.276958,134.264350
77,須崎食料品店,すさき,三豊市,セルフ,,9:00〜11:30,水曜（臨時休業あり）,,https://kagawan.com/suzakishokuryohinten/,あり（約38台）,suzakishokuryohinten,34.175128,133.769552
78,うどんや カマ喜ri,かまきり,観音寺市,一般,,11:00〜14:00（玉切れ次第終了）,日曜,,https://kagawan.com/kamakiri/,あり（約20台）,kamakiri,34.112721,133.676586
79,うまじ家 豊浜店,うまじや,観音寺市,セルフ,,10:00〜13:30,なし,,https://kagawan.com/umajiya-toyohama/,あり（19台）,umajiya-toyohama,34.085207,133.640099
